variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS09470	9.47E-01	2.88E-03	8.81E-01	-2.69E-02	1.80E-01	8.67E-03	
gene-SPN23F_RS09475	3.03E-01	7.42E-01	6.69E-01	-4.57E-02	1.07E-01	2.48E-02	
gene-SPN23F_RS09480	9.00E-01	2.74E-01	7.09E-01	-5.72E-02	1.53E-01	2.17E-02	
gene-SPN23F_RS09485	3.20E-01	1.89E-01	2.45E-01	1.50E-01	1.29E-01	6.74E-02	
gene-SPN23F_RS09490	6.50E-01	9.62E-04	5.96E-01	-7.22E-02	1.36E-01	3.07E-02	
gene-SPN23F_RS09495	3.13E-01	2.45E-08	6.98E-01	-3.54E-02	9.13E-02	2.25E-02	
gene-SPN23F_RS09500	8.07E-01	2.91E-02	8.00E-01	-2.86E-02	1.13E-01	1.47E-02	
gene-SPN23F_RS09505	6.00E-02	1.56E-03	7.89E-01	-4.48E-02	1.68E-01	1.55E-02	bad-chisq
gene-SPN23F_RS09510	3.60E-01	2.53E-03	8.11E-01	-2.44E-02	1.02E-01	1.38E-02	
gene-SPN23F_RS09515	5.43E-01	9.93E-01	5.09E-01	6.85E-02	1.04E-01	3.82E-02	
gene-SPN23F_RS09520	4.27E-01	6.58E-03	1.19E-01	2.06E-01	1.32E-01	9.01E-02	
gene-SPN23F_RS09525	7.93E-01	6.99E-01	8.73E-01	2.30E-02	1.44E-01	9.26E-03	
gene-SPN23F_RS09530	3.53E-01	1.69E-02	9.00E-01	1.22E-02	9.67E-02	7.30E-03	
gene-SPN23F_RS09535	6.33E-02	1.13E-03	5.92E-01	-1.24E-01	2.32E-01	3.10E-02	bad-chisq
gene-SPN23F_RS09540	5.00E-02	1.12E-01	1.23E-01	2.35E-01	1.52E-01	8.92E-02	
gene-SPN23F_RS09545	1.87E-01	8.55E-07	3.66E-01	1.10E-01	1.21E-01	5.24E-02	
gene-SPN23F_RS09550	4.47E-01	2.21E-01	8.46E-01	2.06E-02	1.06E-01	1.13E-02	
gene-SPN23F_RS09555	3.00E-02	1.36E-01	6.95E-01	5.45E-02	1.39E-01	2.27E-02	bad-chisq
gene-SPN23F_RS09560	2.70E-01	4.42E-01	6.03E-01	-6.42E-02	1.23E-01	3.01E-02	
gene-SPN23F_RS09565	3.27E-01	2.53E-03	3.05E-01	-1.12E-01	1.09E-01	5.94E-02	
gene-SPN23F_RS09570	1.20E-01	5.39E-01	8.51E-01	-3.08E-02	1.64E-01	1.09E-02	
gene-SPN23F_RS09580	7.93E-01	4.38E-02	3.32E-01	-1.61E-01	1.66E-01	5.63E-02	
gene-SPN23F_RS09585	6.80E-01	1.89E-01	8.41E-01	2.40E-02	1.19E-01	1.16E-02	
gene-SPN23F_RS09590	1.83E-01	3.27E-01	3.81E-01	-1.52E-01	1.73E-01	5.08E-02	
gene-SPN23F_RS09595	2.77E-01	6.82E-04	5.63E-01	-7.41E-02	1.28E-01	3.35E-02	
gene-SPN23F_RS09600	2.27E-01	1.06E-04	1.81E-01	-1.85E-01	1.38E-01	7.74E-02	
gene-SPN23F_RS09610	3.30E-01	2.97E-04	9.33E-01	1.10E-02	1.30E-01	4.90E-03	
gene-SPN23F_RS09615	6.53E-01	9.40E-01	8.72E-01	1.80E-02	1.12E-01	9.31E-03	
gene-SPN23F_RS09620	1.07E-01	4.28E-01	8.31E-01	-3.85E-02	1.80E-01	1.24E-02	
gene-SPN23F_RS09635	5.97E-01	1.17E-04	2.76E-02	2.26E-01	1.02E-01	1.27E-01	
gene-SPN23F_RS09640	2.20E-01	4.58E-03	4.08E-01	9.34E-02	1.13E-01	4.80E-02	
gene-SPN23F_RS09645	7.90E-01	3.07E-06	3.01E-04	4.60E-01	1.26E-01	2.07E-01	
gene-SPN23F_RS13980	3.53E-01	1.34E-03	4.36E-01	-8.36E-02	1.07E-01	4.51E-02	
gene-SPN23F_RS09655	3.70E-01	4.68E-04	9.09E-01	-1.11E-02	9.77E-02	6.61E-03	
gene-SPN23F_RS09660	8.40E-01	3.29E-05	2.14E-01	-1.48E-01	1.19E-01	7.20E-02	
gene-SPN23F_RS09665	6.80E-01	8.02E-01	1.90E-01	1.42E-01	1.08E-01	7.59E-02	
gene-SPN23F_RS09670	8.77E-01	7.95E-01	5.89E-01	5.76E-02	1.06E-01	3.13E-02	
gene-SPN23F_RS09675	7.80E-01	8.46E-01	9.96E-01	5.75E-04	1.04E-01	3.20E-04	
gene-SPN23F_RS09680	8.27E-01	4.90E-01	5.36E-01	-9.44E-02	1.52E-01	3.59E-02	
gene-SPN23F_RS09805	3.40E-01	1.04E-02	6.03E-02	1.78E-01	9.45E-02	1.09E-01	
gene-SPN23F_RS09810	6.73E-01	2.24E-05	8.58E-01	2.13E-02	1.19E-01	1.04E-02	
gene-SPN23F_RS13450	3.43E-01	8.70E-01	8.42E-02	1.68E-01	9.70E-02	9.99E-02	
gene-SPN23F_RS09840	3.23E-01	3.90E-01	1.99E-03	-3.40E-01	1.09E-01	1.78E-01	
gene-SPN23F_RS09845	4.90E-01	6.17E-05	8.09E-01	-2.69E-02	1.11E-01	1.40E-02	
gene-SPN23F_RS09850	4.90E-01	7.10E-01	9.68E-01	5.10E-03	1.27E-01	2.32E-03	
gene-SPN23F_RS09855	5.27E-01	5.21E-04	6.11E-01	-5.73E-02	1.13E-01	2.95E-02	
gene-SPN23F_RS09860	4.67E-01	3.22E-01	5.48E-01	-6.27E-02	1.04E-01	3.48E-02	
gene-SPN23F_RS09865	4.33E-01	5.18E-01	4.70E-01	-7.66E-02	1.06E-01	4.18E-02	
gene-SPN23F_RS09870	3.83E-01	5.29E-01	8.84E-01	1.96E-02	1.35E-01	8.45E-03	
gene-SPN23F_RS13985	5.27E-01	1.90E-03	9.89E-01	1.44E-03	1.01E-01	8.32E-04	
gene-SPN23F_RS09875	3.33E-01	1.09E-03	7.39E-01	-4.13E-02	1.24E-01	1.93E-02	
gene-SPN23F_RS09880	6.77E-01	4.54E-02	7.86E-01	-3.31E-02	1.22E-01	1.57E-02	
gene-SPN23F_RS09885	2.27E-01	9.83E-04	1.73E-01	-1.90E-01	1.39E-01	7.89E-02	
gene-SPN23F_RS09890	5.83E-01	6.27E-03	8.22E-01	-2.15E-02	9.51E-02	1.31E-02	
gene-SPN23F_RS09895	4.70E-01	1.18E-01	3.08E-01	-1.11E-01	1.09E-01	5.91E-02	
gene-SPN23F_RS13995	9.73E-01	1.87E-01	9.23E-01	2.62E-02	2.72E-01	5.58E-03	bad-chisq
gene-SPN23F_RS09920	6.00E-02	6.75E-01	6.27E-01	7.65E-02	1.57E-01	2.82E-02	
gene-SPN23F_RS09925	7.33E-02	9.74E-02	4.31E-01	-1.20E-01	1.52E-01	4.56E-02	
gene-SPN23F_RS09930	5.00E-01	2.09E-02	3.88E-01	9.10E-02	1.05E-01	5.00E-02	
gene-SPN23F_RS09935	3.33E-02	3.32E-01	9.03E-01	1.67E-02	1.37E-01	7.07E-03	
gene-SPN23F_RS09940	2.67E-02	1.87E-01	7.30E-01	-1.51E-01	4.36E-01	2.00E-02	bad-chisq
gene-SPN23F_RS09955	8.37E-01	3.71E-03	8.44E-01	-3.24E-02	1.65E-01	1.14E-02	
gene-SPN23F_RS09960	9.63E-01	7.27E-04	2.66E-02	-4.34E-01	1.95E-01	1.28E-01	
gene-SPN23F_RS09965	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS09970	7.30E-01	4.42E-01	8.64E-01	2.25E-02	1.31E-01	9.94E-03	
gene-SPN23F_RS09975	6.40E-01	5.00E-03	3.13E-01	1.17E-01	1.16E-01	5.84E-02	
gene-SPN23F_RS09980	5.20E-01	2.67E-01	6.84E-01	-3.73E-02	9.16E-02	2.36E-02	
gene-SPN23F_RS09985	5.60E-01	2.24E-02	4.17E-01	9.57E-02	1.18E-01	4.70E-02	
gene-SPN23F_RS09990	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS09995	1.10E-01	3.38E-05	9.18E-01	-1.76E-02	1.71E-01	5.97E-03	
gene-SPN23F_RS10000	9.30E-01	2.92E-01	4.94E-01	-7.42E-02	1.09E-01	3.96E-02	
gene-SPN23F_RS10005	1.57E-01	8.57E-02	6.44E-01	-4.87E-02	1.05E-01	2.68E-02	
gene-SPN23F_RS10010	7.20E-01	1.78E-04	2.01E-01	1.16E-01	9.06E-02	7.40E-02	
gene-SPN23F_RS10015	8.93E-01	5.92E-03	2.97E-01	1.06E-01	1.01E-01	6.04E-02	
gene-SPN23F_RS10020	5.70E-01	9.43E-01	7.99E-01	-2.35E-02	9.22E-02	1.47E-02	
gene-SPN23F_RS10025	5.20E-01	4.02E-01	7.62E-01	2.73E-02	8.99E-02	1.76E-02	
gene-SPN23F_RS10030	1.97E-01	1.01E-03	4.26E-01	9.51E-02	1.19E-01	4.61E-02	
gene-SPN23F_RS10035	6.70E-01	8.84E-07	1.71E-01	-1.59E-01	1.15E-01	7.93E-02	
gene-SPN23F_RS14140	2.20E-01	5.06E-02	8.55E-01	-1.74E-02	9.56E-02	1.06E-02	
gene-SPN23F_RS10080	5.50E-01	1.10E-03	2.84E-01	1.26E-01	1.17E-01	6.21E-02	
gene-SPN23F_RS10085	4.47E-01	9.17E-05	4.79E-01	6.05E-02	8.53E-02	4.10E-02	
gene-SPN23F_RS10095	6.00E-02	5.46E-01	5.48E-01	-1.08E-01	1.80E-01	3.48E-02	
gene-SPN23F_RS10100	1.57E-01	1.96E-01	5.30E-01	-6.83E-02	1.09E-01	3.64E-02	
gene-SPN23F_RS10105	7.67E-02	9.62E-01	6.47E-01	-5.92E-02	1.29E-01	2.66E-02	
gene-SPN23F_RS10115	3.33E-01	5.32E-05	5.12E-02	2.60E-01	1.33E-01	1.13E-01	
gene-SPN23F_RS10120	3.73E-01	9.98E-02	8.89E-01	-1.57E-02	1.12E-01	8.10E-03	
gene-SPN23F_RS10125	4.60E-01	1.75E-04	1.46E-01	-1.81E-01	1.24E-01	8.41E-02	
gene-SPN23F_RS10130	1.53E-01	9.44E-01	2.70E-01	1.26E-01	1.14E-01	6.38E-02	
gene-SPN23F_RS10135	4.57E-01	1.45E-01	7.81E-01	3.01E-02	1.08E-01	1.61E-02	
gene-SPN23F_RS10140	3.80E-01	5.27E-05	2.24E-01	-1.01E-01	8.32E-02	7.04E-02	
gene-SPN23F_RS10145	6.50E-01	4.52E-01	4.79E-01	6.52E-02	9.20E-02	4.10E-02	
gene-SPN23F_RS10150	8.77E-01	8.20E-02	7.90E-01	3.99E-02	1.50E-01	1.55E-02	
gene-SPN23F_RS10155	1.23E-01	8.79E-07	2.49E-01	2.44E-01	2.11E-01	6.68E-02	
gene-SPN23F_RS10165	1.33E-02	1.45E-01	5.85E-01	-2.31E-01	4.22E-01	3.16E-02	bad-chisq
gene-SPN23F_RS10170	8.00E-01	2.74E-01	2.42E-01	1.12E-01	9.59E-02	6.77E-02	
gene-SPN23F_RS10175	1.63E-01	6.99E-01	7.66E-01	4.61E-02	1.55E-01	1.73E-02	
gene-SPN23F_RS10180	3.87E-01	2.20E-02	6.57E-01	5.70E-02	1.28E-01	2.57E-02	
gene-SPN23F_RS10185	2.93E-01	5.54E-01	6.30E-01	6.82E-02	1.42E-01	2.79E-02	
gene-SPN23F_RS10190	8.10E-01	8.43E-02	3.19E-01	9.58E-02	9.60E-02	5.77E-02	
gene-SPN23F_RS10195	4.00E-02	5.85E-01	2.26E-01	2.58E-01	2.12E-01	7.01E-02	
gene-SPN23F_RS10200	5.63E-01	1.41E-03	7.68E-01	2.76E-02	9.35E-02	1.71E-02	
gene-SPN23F_RS10205	8.83E-01	4.53E-01	7.08E-01	-6.51E-02	1.73E-01	2.17E-02	
gene-SPN23F_RS10210	7.10E-01	5.68E-01	7.65E-01	2.92E-02	9.77E-02	1.73E-02	
gene-SPN23F_RS10215	4.17E-01	4.72E-01	7.12E-01	-2.73E-02	7.41E-02	2.14E-02	
gene-SPN23F_RS10220	5.30E-01	2.50E-03	1.68E-01	1.38E-01	9.98E-02	7.98E-02	
gene-SPN23F_RS10225	7.07E-01	2.01E-01	6.21E-01	-4.21E-02	8.52E-02	2.86E-02	
gene-SPN23F_RS10230	4.93E-01	2.42E-01	8.75E-01	-1.56E-02	9.90E-02	9.15E-03	
gene-SPN23F_RS10235	8.67E-02	6.89E-01	8.02E-01	-3.65E-02	1.45E-01	1.46E-02	
gene-SPN23F_RS10240	8.87E-01	3.05E-01	8.07E-01	3.55E-02	1.45E-01	1.42E-02	
gene-SPN23F_RS10245	2.90E-01	1.47E-03	6.03E-01	-4.66E-02	8.95E-02	3.01E-02	
gene-SPN23F_RS10250	9.47E-01	1.77E-01	7.05E-01	4.97E-02	1.31E-01	2.20E-02	
gene-SPN23F_RS10255	9.67E-01	3.32E-01	8.08E-01	6.40E-02	2.63E-01	1.41E-02	
gene-SPN23F_RS10260	6.17E-01	8.97E-01	3.07E-01	-9.64E-02	9.42E-02	5.92E-02	
gene-SPN23F_RS10270	1.67E-02	1.03E-01	6.88E-01	-1.72E-01	4.26E-01	2.33E-02	bad-chisq
gene-SPN23F_RS10275	2.23E-01	1.95E-02	5.76E-01	-6.96E-02	1.24E-01	3.24E-02	
gene-SPN23F_RS10280	1.43E-01	1.88E-04	8.17E-01	-2.92E-02	1.26E-01	1.34E-02	
gene-SPN23F_RS10285	1.80E-01	1.58E-01	3.87E-01	-1.41E-01	1.63E-01	5.02E-02	
gene-SPN23F_RS10290	4.83E-01	1.30E-01	4.44E-01	8.75E-02	1.14E-01	4.43E-02	
gene-SPN23F_RS10295	5.83E-01	1.25E-03	6.17E-01	-6.26E-02	1.25E-01	2.90E-02	
gene-SPN23F_RS10300	4.10E-01	2.25E-02	8.55E-01	-1.79E-02	9.76E-02	1.06E-02	
gene-SPN23F_RS10305	7.93E-01	6.99E-01	8.23E-01	5.44E-02	2.43E-01	1.30E-02	
gene-SPN23F_RS10315	9.40E-01	2.64E-01	1.92E-01	2.29E-01	1.75E-01	7.55E-02	
gene-SPN23F_RS10320	5.33E-01	3.63E-03	7.65E-01	2.84E-02	9.50E-02	1.73E-02	
gene-SPN23F_RS10325	6.03E-01	2.54E-03	8.23E-01	-2.18E-02	9.76E-02	1.29E-02	
gene-SPN23F_RS10410	1.00E-01	2.64E-07	1.74E-01	3.22E-01	2.36E-01	7.87E-02	
gene-SPN23F_RS10415	1.67E-02	1.03E-01	3.81E-01	-2.97E-01	3.38E-01	5.08E-02	bad-chisq
gene-SPN23F_RS10420	5.67E-02	2.86E-02	3.75E-01	1.56E-01	1.76E-01	5.14E-02	
gene-SPN23F_RS10425	8.77E-01	7.56E-05	3.90E-02	2.49E-01	1.20E-01	1.19E-01	
gene-SPN23F_RS10430	4.90E-01	1.09E-02	2.10E-01	-1.12E-01	8.91E-02	7.25E-02	
gene-SPN23F_RS10435	2.10E-01	1.42E-07	1.57E-01	-1.88E-01	1.33E-01	8.18E-02	
gene-SPN23F_RS10455	1.73E-01	3.65E-05	8.78E-01	-2.11E-02	1.37E-01	8.92E-03	
gene-SPN23F_RS10460	4.67E-01	1.41E-02	1.58E-01	-1.54E-01	1.09E-01	8.17E-02	
gene-SPN23F_RS14275	3.63E-01	8.84E-01	6.69E-01	-4.93E-02	1.15E-01	2.48E-02	
gene-SPN23F_RS10465	1.27E-01	3.26E-03	4.63E-01	-1.00E-01	1.36E-01	4.25E-02	
gene-SPN23F_RS10470	7.67E-02	2.12E-09	2.88E-01	5.01E-01	4.70E-01	6.16E-02	
gene-SPN23F_RS10475	7.37E-01	6.04E-01	9.84E-01	2.89E-03	1.43E-01	1.17E-03	
gene-SPN23F_RS10480	2.80E-01	1.34E-03	8.37E-01	-1.80E-02	8.71E-02	1.19E-02	
gene-SPN23F_RS10485	6.00E-02	2.88E-03	1.37E-01	5.40E-01	3.62E-01	8.60E-02	
gene-SPN23F_RS10490	9.00E-02	3.35E-01	9.50E-01	7.58E-03	1.22E-01	3.61E-03	
gene-SPN23F_RS10495	7.03E-01	5.15E-01	7.47E-01	-3.29E-02	1.02E-01	1.87E-02	
gene-SPN23F_RS10500	2.00E-01	2.74E-01	1.00E+00	-1.45E-05	1.24E-01	6.78E-06	
gene-SPN23F_RS10505	3.60E-01	2.14E-02	8.85E-01	-1.10E-02	7.56E-02	8.39E-03	
gene-SPN23F_RS10510	3.00E-02	1.36E-01	5.95E-01	-2.00E-01	3.74E-01	3.09E-02	bad-chisq
gene-SPN23F_RS10515	7.43E-01	5.40E-11	1.41E-01	-1.64E-01	1.11E-01	8.51E-02	
gene-SPN23F_RS10520	2.53E-01	8.00E-01	5.56E-01	-7.28E-02	1.23E-01	3.42E-02	
gene-SPN23F_RS10525	5.83E-01	4.72E-01	5.41E-01	-6.10E-02	9.97E-02	3.54E-02	
gene-SPN23F_RS10530	5.50E-01	9.32E-01	8.97E-01	1.54E-02	1.19E-01	7.48E-03	
gene-SPN23F_RS10540	5.53E-01	1.48E-03	9.71E-01	4.30E-03	1.17E-01	2.13E-03	
gene-SPN23F_RS10545	5.23E-01	6.10E-01	7.77E-01	2.85E-02	1.01E-01	1.64E-02	
gene-SPN23F_RS10550	1.23E-01	2.23E-01	6.96E-01	-4.91E-02	1.26E-01	2.26E-02	
gene-SPN23F_RS10555	7.47E-01	4.74E-02	9.86E-01	1.78E-03	1.05E-01	9.81E-04	
gene-SPN23F_RS10560	9.63E-01	6.15E-01	8.04E-01	-4.16E-02	1.67E-01	1.44E-02	
gene-SPN23F_RS10565	6.90E-01	2.43E-06	5.67E-02	2.20E-01	1.15E-01	1.10E-01	
gene-SPN23F_RS10570	2.07E-01	1.35E-04	7.08E-01	-4.71E-02	1.26E-01	2.17E-02	
gene-SPN23F_RS10575	1.73E-01	3.12E-01	5.56E-01	9.01E-02	1.53E-01	3.42E-02	
gene-SPN23F_RS14145	4.00E-02	9.41E-01	5.50E-01	-1.15E-01	1.93E-01	3.46E-02	
gene-SPN23F_RS10580	4.23E-01	2.28E-03	4.68E-01	7.28E-02	1.00E-01	4.20E-02	
gene-SPN23F_RS10585	9.07E-01	5.62E-01	7.76E-01	4.27E-02	1.50E-01	1.65E-02	
gene-SPN23F_RS10600	8.57E-01	4.55E-02	8.31E-01	2.89E-02	1.35E-01	1.24E-02	
gene-SPN23F_RS10605	8.40E-01	1.26E-02	8.38E-01	3.09E-02	1.51E-01	1.19E-02	
gene-SPN23F_RS10610	1.97E-01	4.01E-01	7.80E-01	3.27E-02	1.17E-01	1.62E-02	
gene-SPN23F_RS10615	7.90E-01	6.57E-05	5.79E-01	-7.11E-02	1.28E-01	3.21E-02	
gene-SPN23F_RS10620	6.33E-01	2.85E-01	5.18E-01	8.51E-02	1.32E-01	3.74E-02	
gene-SPN23F_RS10625	9.90E-01	9.71E-01	7.24E-01	9.97E-02	2.82E-01	2.05E-02	bad-chisq
gene-SPN23F_RS10630	5.60E-01	5.12E-01	3.86E-01	9.46E-02	1.09E-01	5.02E-02	
gene-SPN23F_RS10635	5.00E-02	4.06E-03	4.19E-01	-1.29E-01	1.59E-01	4.68E-02	bad-chisq
gene-SPN23F_RS10640	4.70E-01	6.44E-02	7.54E-01	3.78E-02	1.20E-01	1.82E-02	
gene-SPN23F_RS10645	8.33E-02	5.20E-02	1.82E-01	2.21E-01	1.65E-01	7.72E-02	
gene-SPN23F_RS10650	7.97E-01	2.20E-01	8.68E-01	-2.22E-02	1.34E-01	9.62E-03	
gene-SPN23F_RS10655	1.77E-01	4.84E-01	4.80E-01	8.75E-02	1.24E-01	4.09E-02	
gene-SPN23F_RS10660	5.63E-01	4.59E-01	9.52E-01	-6.55E-03	1.08E-01	3.50E-03	
gene-SPN23F_RS10665	7.80E-01	3.27E-01	1.93E-01	-1.51E-01	1.16E-01	7.53E-02	
gene-SPN23F_RS10670	4.20E-01	4.22E-01	1.04E-01	-1.58E-01	9.66E-02	9.42E-02	
gene-SPN23F_RS10675	3.50E-01	3.02E-01	5.43E-01	-6.69E-02	1.10E-01	3.53E-02	
gene-SPN23F_RS10680	7.53E-01	3.11E-01	2.45E-01	-1.27E-01	1.09E-01	6.73E-02	
gene-SPN23F_RS10685	4.33E-01	1.94E-03	7.08E-01	-5.38E-02	1.43E-01	2.18E-02	
gene-SPN23F_RS10690	4.83E-01	3.05E-01	7.37E-01	-5.04E-02	1.50E-01	1.95E-02	
gene-SPN23F_RS10695	6.83E-01	1.42E-01	7.95E-01	-4.68E-02	1.81E-01	1.50E-02	
gene-SPN23F_RS10700	5.93E-01	8.54E-07	1.29E-01	2.17E-01	1.42E-01	8.79E-02	
gene-SPN23F_RS10785	4.03E-01	2.02E-03	7.53E-01	-3.27E-02	1.04E-01	1.83E-02	
gene-SPN23F_RS10790	5.03E-01	3.25E-19	3.31E-04	-3.52E-01	9.68E-02	2.06E-01	
gene-SPN23F_RS10795	8.67E-02	4.05E-01	9.97E-01	5.42E-04	1.27E-01	2.46E-04	
gene-SPN23F_RS10800	7.33E-02	3.81E-02	4.27E-01	1.56E-01	1.96E-01	4.60E-02	
gene-SPN23F_RS10805	3.17E-01	9.52E-02	6.95E-01	-3.90E-02	9.95E-02	2.27E-02	
gene-SPN23F_RS10810	4.20E-01	1.05E-04	3.61E-01	8.45E-02	9.24E-02	5.29E-02	
gene-SPN23F_RS10820	5.00E-01	6.19E-07	4.23E-01	-7.39E-02	9.21E-02	4.64E-02	
gene-SPN23F_RS10825	5.77E-01	1.81E-02	5.73E-01	6.93E-02	1.23E-01	3.27E-02	
gene-SPN23F_RS10830	2.13E-01	7.38E-03	1.59E-01	-1.60E-01	1.13E-01	8.16E-02	
gene-SPN23F_RS10835	6.90E-01	3.71E-02	3.81E-01	1.26E-01	1.43E-01	5.07E-02	
gene-SPN23F_RS10850	5.73E-01	1.44E-01	5.27E-01	9.60E-02	1.52E-01	3.67E-02	
gene-SPN23F_RS10855	9.00E-02	3.35E-01	9.32E-01	1.71E-02	1.99E-01	4.97E-03	
gene-SPN23F_RS10860	6.40E-01	2.53E-03	5.03E-01	-9.53E-02	1.42E-01	3.88E-02	
gene-SPN23F_RS10865	2.37E-01	3.48E-02	9.15E-01	-1.18E-02	1.10E-01	6.19E-03	
gene-SPN23F_RS10870	5.83E-01	8.20E-06	3.32E-01	-1.40E-01	1.44E-01	5.62E-02	
gene-SPN23F_RS10875	2.67E-02	3.82E-02	6.65E-01	-1.81E-01	4.18E-01	2.51E-02	bad-chisq
gene-SPN23F_RS10880	2.77E-01	4.31E-03	4.04E-01	1.08E-01	1.30E-01	4.83E-02	
gene-SPN23F_RS10885	2.87E-01	5.06E-01	2.84E-01	1.27E-01	1.19E-01	6.20E-02	
gene-SPN23F_RS10895	3.83E-01	1.08E-04	6.68E-01	5.09E-02	1.19E-01	2.49E-02	
gene-SPN23F_RS10900	5.63E-01	3.24E-01	1.80E-01	1.51E-01	1.12E-01	7.77E-02	
gene-SPN23F_RS10905	7.13E-01	6.81E-01	8.46E-01	-1.95E-02	1.00E-01	1.13E-02	
gene-SPN23F_RS10910	2.17E-01	1.41E-02	4.70E-02	-2.39E-01	1.20E-01	1.15E-01	
gene-SPN23F_RS10920	7.30E-01	3.03E-04	9.04E-01	-1.41E-02	1.16E-01	7.01E-03	
gene-SPN23F_RS10925	3.57E-01	1.87E-02	7.00E-01	4.45E-02	1.15E-01	2.23E-02	
gene-SPN23F_RS10930	4.47E-01	1.47E-03	9.42E-01	-7.73E-03	1.07E-01	4.19E-03	
gene-SPN23F_RS10935	9.07E-01	1.31E-01	4.14E-01	1.02E-01	1.25E-01	4.74E-02	
gene-SPN23F_RS10940	4.17E-01	5.98E-04	7.95E-01	-2.45E-02	9.45E-02	1.50E-02	
gene-SPN23F_RS10945	8.40E-01	1.31E-02	6.11E-01	-5.28E-02	1.04E-01	2.95E-02	
gene-SPN23F_RS10950	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS10955	3.73E-01	1.61E-03	3.12E-01	-1.03E-01	1.02E-01	5.86E-02	
gene-SPN23F_RS14015	4.33E-01	3.73E-01	3.32E-01	-1.04E-01	1.07E-01	5.62E-02	
gene-SPN23F_RS10965	7.60E-01	1.79E-01	8.47E-01	3.01E-02	1.55E-01	1.12E-02	
gene-SPN23F_RS10975	6.50E-01	1.29E-01	9.41E-01	-9.11E-03	1.23E-01	4.29E-03	
gene-SPN23F_RS10985	3.03E-01	4.30E-19	7.14E-03	3.16E-01	1.17E-01	1.55E-01	
gene-SPN23F_RS10990	3.00E-02	1.36E-01	7.59E-01	-8.07E-02	2.63E-01	1.78E-02	bad-chisq
gene-SPN23F_RS11000	7.60E-01	5.16E-01	4.50E-01	-9.28E-02	1.23E-01	4.38E-02	
gene-SPN23F_RS11005	7.67E-02	3.86E-01	5.21E-01	-9.32E-02	1.45E-01	3.72E-02	
gene-SPN23F_RS14020	5.07E-01	2.42E-01	2.69E-01	-7.01E-02	6.33E-02	6.41E-02	
gene-SPN23F_RS11020	2.77E-01	6.84E-01	4.87E-01	4.28E-02	6.15E-02	4.03E-02	
gene-SPN23F_RS11025	8.60E-01	2.64E-03	5.70E-01	-6.09E-02	1.07E-01	3.29E-02	
gene-SPN23F_RS14025	5.30E-01	1.73E-01	4.31E-01	-4.62E-02	5.86E-02	4.57E-02	
gene-SPN23F_RS11035	9.67E-02	2.10E-01	3.78E-01	1.22E-01	1.38E-01	5.11E-02	
gene-SPN23F_RS11040	6.03E-01	7.76E-01	8.02E-01	-2.62E-02	1.04E-01	1.46E-02	
gene-SPN23F_RS11045	1.90E-01	3.47E-03	7.43E-01	4.07E-02	1.24E-01	1.90E-02	
gene-SPN23F_RS11050	4.83E-01	4.98E-01	6.48E-01	-4.36E-02	9.54E-02	2.65E-02	
gene-SPN23F_RS11055	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS11060	8.83E-01	2.58E-01	6.60E-01	4.57E-02	1.04E-01	2.55E-02	
gene-SPN23F_RS14030	2.97E-01	8.63E-02	1.33E-02	-1.94E-01	7.79E-02	1.43E-01	
gene-SPN23F_RS11070	9.47E-01	7.84E-01	3.52E-01	-1.38E-01	1.48E-01	5.40E-02	
gene-SPN23F_RS11075	7.87E-01	1.72E-02	4.60E-01	-9.20E-02	1.24E-01	4.28E-02	
gene-SPN23F_RS11085	7.70E-01	1.63E-02	9.73E-01	-3.43E-03	1.02E-01	1.96E-03	
gene-SPN23F_RS11095	8.67E-02	1.04E-02	3.05E-01	-1.04E-01	1.01E-01	5.94E-02	
gene-SPN23F_RS11100	5.93E-01	7.83E-01	8.39E-01	1.93E-02	9.52E-02	1.17E-02	
gene-SPN23F_RS11105	8.87E-01	3.05E-01	1.84E-01	1.28E-01	9.62E-02	7.69E-02	
gene-SPN23F_RS11110	5.53E-01	5.06E-02	9.22E-01	-8.60E-03	8.79E-02	5.67E-03	
gene-SPN23F_RS11115	4.93E-01	8.43E-01	2.55E-01	9.09E-02	7.98E-02	6.59E-02	
gene-SPN23F_RS11120	6.33E-02	2.08E-01	7.71E-01	4.32E-02	1.48E-01	1.69E-02	
gene-SPN23F_RS11125	6.07E-01	9.05E-03	7.39E-01	-2.70E-02	8.11E-02	1.93E-02	
gene-SPN23F_RS11130	1.30E-01	7.54E-03	4.20E-01	-1.10E-01	1.36E-01	4.68E-02	
gene-SPN23F_RS11135	3.67E-02	5.67E-05	7.60E-01	1.07E-01	3.51E-01	1.77E-02	bad-chisq
gene-SPN23F_RS11140	1.77E-01	1.27E-06	1.07E-01	-1.73E-01	1.07E-01	9.32E-02	
