variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS08455	5.63E-01	1.40E-02	9.27E-01	1.11E-02	1.22E-01	5.28E-03	
gene-SPN23F_RS08460	6.03E-01	2.27E-01	9.44E-01	7.19E-03	1.03E-01	4.06E-03	
gene-SPN23F_RS13955	9.47E-01	4.16E-06	8.14E-03	-3.94E-01	1.48E-01	1.53E-01	
gene-SPN23F_RS08470	9.47E-01	1.47E-02	1.93E-01	-1.89E-01	1.44E-01	7.54E-02	
gene-SPN23F_RS08475	6.27E-01	1.75E-02	3.72E-01	-9.41E-02	1.05E-01	5.17E-02	
gene-SPN23F_RS08480	1.67E-02	1.82E-03	8.17E-02	9.05E-01	5.18E-01	1.01E-01	bad-chisq
gene-SPN23F_RS08485	1.67E-02	1.82E-03	8.17E-02	9.05E-01	5.18E-01	1.01E-01	bad-chisq
gene-SPN23F_RS08490	6.67E-02	1.77E-02	5.47E-01	8.38E-02	1.39E-01	3.49E-02	
gene-SPN23F_RS08495	4.97E-01	9.49E-07	6.19E-01	-5.76E-02	1.16E-01	2.88E-02	
gene-SPN23F_RS08500	2.33E-02	5.29E-02	2.14E-01	-2.49E-01	2.00E-01	7.20E-02	bad-chisq
gene-SPN23F_RS08505	1.93E-01	1.90E-03	6.18E-01	6.13E-02	1.23E-01	2.89E-02	
gene-SPN23F_RS08510	5.93E-01	7.04E-03	9.57E-01	-7.00E-03	1.29E-01	3.15E-03	
gene-SPN23F_RS08515	3.53E-01	5.07E-01	9.16E-01	1.33E-02	1.26E-01	6.12E-03	
gene-SPN23F_RS08520	1.23E-01	1.12E-01	9.22E-01	1.11E-02	1.13E-01	5.69E-03	
gene-SPN23F_RS08525	1.23E-01	7.95E-01	9.16E-01	1.50E-02	1.43E-01	6.08E-03	
gene-SPN23F_RS08530	4.37E-01	2.70E-02	6.56E-01	-4.65E-02	1.04E-01	2.58E-02	
gene-SPN23F_RS08535	9.67E-01	1.57E-02	8.72E-01	-3.00E-02	1.86E-01	9.37E-03	
gene-SPN23F_RS13300	2.83E-01	2.59E-01	9.23E-01	-5.70E-03	5.86E-02	5.64E-03	
gene-SPN23F_RS08550	7.20E-01	8.20E-01	5.91E-01	6.43E-02	1.20E-01	3.11E-02	
gene-SPN23F_RS08555	8.43E-01	7.73E-01	7.86E-01	3.38E-02	1.24E-01	1.58E-02	
gene-SPN23F_RS08560	4.53E-01	3.67E-01	6.56E-01	-4.84E-02	1.09E-01	2.58E-02	
gene-SPN23F_RS08565	9.00E-02	7.72E-03	4.74E-01	-1.31E-01	1.83E-01	4.15E-02	
gene-SPN23F_RS08570	1.67E-01	3.55E-01	4.00E-01	1.28E-01	1.52E-01	4.88E-02	
gene-SPN23F_RS08575	1.13E-01	2.07E-04	6.31E-01	-6.94E-02	1.44E-01	2.79E-02	
gene-SPN23F_RS08580	2.23E-01	4.09E-02	3.71E-01	-1.08E-01	1.20E-01	5.19E-02	
gene-SPN23F_RS08585	4.77E-01	1.43E-03	9.38E-01	-7.73E-03	9.97E-02	4.49E-03	
gene-SPN23F_RS08590	4.17E-01	7.09E-03	7.36E-01	-3.25E-02	9.62E-02	1.96E-02	
gene-SPN23F_RS08595	7.23E-01	7.71E-02	4.35E-01	-7.80E-02	9.97E-02	4.53E-02	
gene-SPN23F_RS08600	5.67E-01	4.09E-01	6.56E-01	-3.91E-02	8.78E-02	2.58E-02	
gene-SPN23F_RS08605	2.33E-02	2.58E-01	8.62E-01	-4.37E-02	2.52E-01	1.00E-02	bad-chisq
gene-SPN23F_RS08610	1.00E-01	1.81E-01	9.70E-01	-6.99E-03	1.86E-01	2.18E-03	
gene-SPN23F_RS08615	5.97E-01	3.12E-04	9.36E-01	8.60E-03	1.07E-01	4.64E-03	
gene-SPN23F_RS08620	1.30E-01	1.92E-01	3.23E-01	-1.68E-01	1.70E-01	5.73E-02	
gene-SPN23F_RS08625	1.13E-01	9.70E-02	6.57E-01	9.54E-02	2.14E-01	2.58E-02	
gene-SPN23F_RS08630	3.17E-01	5.36E-02	6.69E-01	4.34E-02	1.01E-01	2.48E-02	
gene-SPN23F_RS08635	5.77E-01	4.03E-01	7.39E-01	-4.24E-02	1.27E-01	1.93E-02	
gene-SPN23F_RS08640	8.87E-01	9.70E-02	5.63E-01	8.30E-02	1.43E-01	3.35E-02	
gene-SPN23F_RS08650	4.67E-02	2.98E-01	3.02E-01	2.66E-01	2.57E-01	5.97E-02	
gene-SPN23F_RS08655	6.00E-02	1.03E-01	9.09E-01	2.81E-02	2.46E-01	6.59E-03	
gene-SPN23F_RS08660	1.60E-01	4.72E-03	8.76E-01	2.07E-02	1.32E-01	9.07E-03	
gene-SPN23F_RS08665	5.83E-01	5.14E-08	6.83E-01	-6.24E-02	1.52E-01	2.37E-02	
gene-SPN23F_RS08670	3.70E-01	5.95E-01	7.27E-01	-3.98E-02	1.14E-01	2.02E-02	
gene-SPN23F_RS13960	5.40E-01	1.20E-01	6.56E-01	-3.70E-02	8.30E-02	2.58E-02	
gene-SPN23F_RS08685	8.67E-02	7.83E-02	4.63E-01	8.61E-02	1.17E-01	4.25E-02	
gene-SPN23F_RS08690	4.90E-01	1.83E-01	4.73E-01	-7.53E-02	1.05E-01	4.16E-02	
gene-SPN23F_RS08695	4.17E-01	9.92E-06	3.50E-01	-8.95E-02	9.57E-02	5.41E-02	
gene-SPN23F_RS08705	6.23E-01	2.50E-05	1.22E-01	1.80E-01	1.16E-01	8.94E-02	
gene-SPN23F_RS08710	9.00E-02	1.49E-02	5.88E-01	9.15E-02	1.69E-01	3.14E-02	
gene-SPN23F_RS08715	4.40E-01	2.77E-08	3.21E-01	9.59E-02	9.65E-02	5.74E-02	
gene-SPN23F_RS08720	5.60E-01	3.67E-01	7.04E-01	4.02E-02	1.06E-01	2.20E-02	
gene-SPN23F_RS08725	5.13E-01	3.46E-01	5.37E-01	6.19E-02	1.00E-01	3.58E-02	
gene-SPN23F_RS08740	4.00E-02	2.46E-03	1.54E-01	3.75E-01	2.62E-01	8.25E-02	
gene-SPN23F_RS08745	7.00E-02	1.30E-02	7.50E-01	-7.33E-02	2.30E-01	1.85E-02	
gene-SPN23F_RS08750	5.53E-01	8.66E-02	5.88E-01	4.96E-02	9.16E-02	3.14E-02	
gene-SPN23F_RS08755	2.47E-01	6.53E-01	9.20E-01	-1.89E-02	1.89E-01	5.79E-03	
gene-SPN23F_RS08760	7.20E-01	3.37E-06	1.45E-01	-1.88E-01	1.29E-01	8.42E-02	
gene-SPN23F_RS08765	5.13E-01	3.46E-01	7.67E-01	-2.64E-02	8.91E-02	1.72E-02	
gene-SPN23F_RS08770	8.53E-01	5.33E-03	8.44E-01	-3.39E-02	1.72E-01	1.14E-02	
gene-SPN23F_RS08775	2.00E-02	3.57E-01	9.68E-01	8.90E-03	2.25E-01	2.29E-03	bad-chisq
gene-SPN23F_RS08780	1.50E-01	7.24E-07	8.80E-01	2.38E-02	1.58E-01	8.72E-03	
gene-SPN23F_RS08785	1.07E-01	2.96E-07	1.25E-01	2.26E-01	1.47E-01	8.87E-02	
gene-SPN23F_RS08820	9.90E-01	9.71E-01	7.24E-01	9.97E-02	2.82E-01	2.05E-02	bad-chisq
gene-SPN23F_RS08825	3.17E-01	6.65E-03	1.23E-01	1.79E-01	1.16E-01	8.93E-02	
gene-SPN23F_RS08830	6.00E-02	2.88E-03	8.67E-02	4.52E-01	2.63E-01	9.91E-02	
gene-SPN23F_RS08835	6.80E-01	6.65E-02	1.77E-01	1.50E-01	1.11E-01	7.81E-02	
gene-SPN23F_RS08840	8.47E-01	1.50E-02	6.03E-01	-6.70E-02	1.29E-01	3.01E-02	
gene-SPN23F_RS08845	4.33E-01	9.28E-01	1.61E-01	-1.21E-01	8.59E-02	8.11E-02	
gene-SPN23F_RS08855	5.03E-01	3.06E-04	8.87E-02	-1.61E-01	9.41E-02	9.85E-02	
