GeneID	Annotation
cds-WP_000779205.1	WP_000779205.1
gene-SPN23F_RS01715	rfbA
cds-WP_000676145.1	WP_000676145.1
gene-SPN23F_RS01720	SPN23F_RS01720
cds-WP_000131451.1	WP_000131451.1
gene-SPN23F_RS01725	rfbB
cds-WP_000141499.1	WP_000141499.1
gene-SPN23F_RS01730	rfbD
cds-WP_000600912.1	WP_000600912.1
cds-SPN23F_RS13750	
gene-SPN23F_RS01745	SPN23F_RS01745
cds-WP_000842557.1	WP_000842557.1
gene-SPN23F_RS01750	SPN23F_RS01750
cds-WP_001032454.1	WP_001032454.1
gene-SPN23F_RS01755	pbp1a
cds-WP_001039987.1	WP_001039987.1
gene-SPN23F_RS01760	recU
cds-WP_000248774.1	WP_000248774.1
gene-SPN23F_RS01765	SPN23F_RS01765
cds-WP_000179549.1	WP_000179549.1
gene-SPN23F_RS01770	gpsB
cds-WP_000200645.1	WP_000200645.1
gene-SPN23F_RS11890	rnpB
gene-SPN23F_RS01780	SPN23F_RS01780
cds-WP_000711414.1	WP_000711414.1
gene-SPN23F_RS01785	mapZ
cds-WP_000039255.1	WP_000039255.1
gene-SPN23F_RS01790	gndA
cds-WP_000158793.1	WP_000158793.1
gene-SPN23F_RS01795	SPN23F_RS01795
cds-WP_000518008.1	WP_000518008.1
gene-SPN23F_RS01800	cbpJ
cds-WP_000771053.1	WP_000771053.1
gene-SPN23F_RS01805	SPN23F_RS01805
cds-WP_000765684.1	WP_000765684.1
gene-SPN23F_RS12810	SPN23F_RS12810
cds-WP_001809487.1	WP_001809487.1
cds-SPN23F_RS12815	
gene-SPN23F_RS14065	SPN23F_RS14065
cds-WP_000619581.1	WP_000619581.1
gene-SPN23F_RS01820	mvk
cds-WP_000163315.1	WP_000163315.1
gene-SPN23F_RS01825	mvaD
cds-WP_000373457.1	WP_000373457.1
gene-SPN23F_RS01830	SPN23F_RS01830
cds-WP_000562413.1	WP_000562413.1
gene-SPN23F_RS01835	fni
cds-WP_000210618.1	WP_000210618.1
gene-SPN23F_RS01840	liaF
cds-WP_001224637.1	WP_001224637.1
gene-SPN23F_RS01845	SPN23F_RS01845
cds-WP_000743674.1	WP_000743674.1
gene-SPN23F_RS01850	SPN23F_RS01850
cds-WP_000698434.1	WP_000698434.1
cds-SPN23F_RS13765	
gene-SPN23F_RS01870	SPN23F_RS01870
cds-WP_000754501.1	WP_000754501.1
gene-SPN23F_RS01875	cbpG
cds-WP_001100142.1	WP_001100142.1
gene-SPN23F_RS01880	cbpF
cds-WP_000765212.1	WP_000765212.1
cds-SPN23F_RS11910	
gene-SPN23F_RS01900	SPN23F_RS01900
cds-WP_000391688.1	WP_000391688.1
gene-SPN23F_RS01905	SPN23F_RS01905
cds-WP_000927663.1	WP_000927663.1
gene-SPN23F_RS01910	SPN23F_RS01910
cds-WP_000764147.1	WP_000764147.1
gene-SPN23F_RS01915	SPN23F_RS01915
cds-WP_000682970.1	WP_000682970.1
gene-SPN23F_RS01930	tig
cds-WP_000116466.1	WP_000116466.1
gene-SPN23F_RS01935	SPN23F_RS01935
cds-WP_000454503.1	WP_000454503.1
gene-SPN23F_RS13220	SPN23F_RS13220
cds-WP_001815645.1	WP_001815645.1
gene-SPN23F_RS01940	lepB
cds-WP_001048155.1	WP_001048155.1
gene-SPN23F_RS01945	rnhC
cds-WP_000146861.1	WP_000146861.1
gene-SPN23F_RS01950	zapA
cds-WP_000002019.1	WP_000002019.1
gene-SPN23F_RS01955	SPN23F_RS01955
cds-WP_000622953.1	WP_000622953.1
gene-SPN23F_RS01960	SPN23F_RS01960
cds-WP_001035036.1	WP_001035036.1
gene-SPN23F_RS01965	SPN23F_RS01965
cds-WP_000891487.1	WP_000891487.1
gene-SPN23F_RS01970	SPN23F_RS01970
cds-WP_000206761.1	WP_000206761.1
gene-SPN23F_RS01975	SPN23F_RS01975
cds-WP_000735961.1	WP_000735961.1
gene-SPN23F_RS01980	serS
cds-WP_000884265.1	WP_000884265.1
gene-SPN23F_RS01985	SPN23F_RS01985
cds-WP_000079361.1	WP_000079361.1
gene-SPN23F_RS01990	SPN23F_RS01990
cds-WP_000869657.1	WP_000869657.1
gene-SPN23F_RS01995	SPN23F_RS01995
cds-WP_000400073.1	WP_000400073.1
gene-SPN23F_RS02000	SPN23F_RS02000
cds-WP_000386347.1	WP_000386347.1
gene-SPN23F_RS02005	SPN23F_RS02005
cds-WP_000852948.1	WP_000852948.1
gene-SPN23F_RS02010	SPN23F_RS02010
cds-WP_000257841.1	WP_000257841.1
gene-SPN23F_RS02015	fabK
cds-WP_000857430.1	WP_000857430.1
gene-SPN23F_RS02020	fabD
cds-WP_000167623.1	WP_000167623.1
gene-SPN23F_RS02025	fabG
cds-WP_000763052.1	WP_000763052.1
gene-SPN23F_RS02030	fabF
cds-WP_000774063.1	WP_000774063.1
gene-SPN23F_RS02035	accB
cds-WP_001052244.1	WP_001052244.1
gene-SPN23F_RS02040	fabZ
cds-WP_000565515.1	WP_000565515.1
gene-SPN23F_RS02045	accC
cds-WP_000488675.1	WP_000488675.1
gene-SPN23F_RS02050	accD
cds-WP_001173353.1	WP_001173353.1
gene-SPN23F_RS02055	SPN23F_RS02055
cds-WP_001017399.1	WP_001017399.1
gene-SPN23F_RS02060	briC
cds-WP_000148169.1	WP_000148169.1
cds-SPN23F_RS14155	
gene-SPN23F_RS02075	nusB
cds-WP_000203654.1	WP_000203654.1
gene-SPN23F_RS02080	SPN23F_RS02080
cds-WP_000510591.1	WP_000510591.1
gene-SPN23F_RS02085	efp
cds-WP_000568640.1	WP_000568640.1
gene-SPN23F_RS02090	gatB
cds-WP_001008663.1	WP_001008663.1
gene-SPN23F_RS02095	gatA
cds-WP_000143735.1	WP_000143735.1
gene-SPN23F_RS02100	gatC
cds-WP_000705421.1	WP_000705421.1
gene-SPN23F_RS02105	SPN23F_RS02105
cds-WP_001025419.1	WP_001025419.1
cds-SPN23F_RS02110	
gene-SPN23F_RS02115	rpmB
cds-WP_001140948.1	WP_001140948.1
gene-SPN23F_RS02120	SPN23F_RS02120
cds-WP_000216436.1	WP_000216436.1
gene-SPN23F_RS02125	SPN23F_RS02125
cds-WP_000036668.1	WP_000036668.1
gene-SPN23F_RS02130	SPN23F_RS02130
cds-WP_000411764.1	WP_000411764.1
gene-SPN23F_RS02135	ilvN
cds-WP_001253803.1	WP_001253803.1
gene-SPN23F_RS02140	ilvC
cds-WP_000218054.1	WP_000218054.1
gene-SPN23F_RS02145	SPN23F_RS02145
cds-WP_001810356.1	WP_001810356.1
gene-SPN23F_RS02150	SPN23F_RS02150
cds-WP_001027900.1	WP_001027900.1
gene-SPN23F_RS02155	ilvA
cds-WP_000952973.1	WP_000952973.1
gene-SPN23F_RS02160	SPN23F_RS02160
cds-WP_001130038.1	WP_001130038.1
gene-SPN23F_RS02165	SPN23F_RS02165
cds-WP_000189477.1	WP_000189477.1
gene-SPN23F_RS02170	SPN23F_RS02170
cds-WP_001227307.1	WP_001227307.1
gene-SPN23F_RS02175	SPN23F_RS02175
cds-WP_000750651.1	WP_000750651.1
gene-SPN23F_RS02185	SPN23F_RS02185
cds-WP_001815847.1	WP_001815847.1
gene-SPN23F_RS02190	SPN23F_RS02190
cds-WP_000280773.1	WP_000280773.1
gene-SPN23F_RS02195	dinB
cds-WP_000904591.1	WP_000904591.1
gene-SPN23F_RS02200	pflB
cds-WP_000260644.1	WP_000260644.1
gene-SPN23F_RS02205	SPN23F_RS02205
cds-WP_001815848.1	WP_001815848.1
gene-SPN23F_RS02215	SPN23F_RS02215
cds-WP_000384133.1	WP_000384133.1
cds-SPN23F_RS13770	
gene-SPN23F_RS02240	SPN23F_RS02240
cds-WP_001043417.1	WP_001043417.1
gene-SPN23F_RS02245	trkA
cds-WP_000691685.1	WP_000691685.1
gene-SPN23F_RS02250	SPN23F_RS02250
cds-WP_001063601.1	WP_001063601.1
gene-SPN23F_RS02255	SPN23F_RS02255
cds-WP_000403162.1	WP_000403162.1
gene-SPN23F_RS13225	SPN23F_RS13225
cds-WP_000693286.1	WP_000693286.1
gene-SPN23F_RS02265	SPN23F_RS02265
cds-WP_000656555.1	WP_000656555.1
gene-SPN23F_RS02270	SPN23F_RS02270
cds-WP_001148103.1	WP_001148103.1
gene-SPN23F_RS02275	SPN23F_RS02275
cds-WP_000181373.1	WP_000181373.1
gene-SPN23F_RS02280	SPN23F_RS02280
cds-WP_000185828.1	WP_000185828.1
gene-SPN23F_RS02285	SPN23F_RS02285
cds-WP_001826724.1	WP_001826724.1
gene-SPN23F_RS02290	SPN23F_RS02290
cds-WP_000867297.1	WP_000867297.1
gene-SPN23F_RS02295	SPN23F_RS02295
cds-WP_000333647.1	WP_000333647.1
gene-SPN23F_RS02300	rpoE
cds-WP_000418402.1	WP_000418402.1
gene-SPN23F_RS14075	SPN23F_RS14075
cds-WP_000692891.1	WP_000692891.1
gene-SPN23F_RS02305	SPN23F_RS02305
cds-WP_000105234.1	WP_000105234.1
gene-SPN23F_RS02310	SPN23F_RS02310
cds-WP_000026645.1	WP_000026645.1
gene-SPN23F_RS02315	SPN23F_RS02315
cds-WP_000795165.1	WP_000795165.1
gene-SPN23F_RS02320	SPN23F_RS02320
cds-WP_001096743.1	WP_001096743.1
gene-SPN23F_RS02325	SPN23F_RS02325
cds-WP_000119900.1	WP_000119900.1
gene-SPN23F_RS02330	glnR
cds-WP_000659553.1	WP_000659553.1
gene-SPN23F_RS02335	glnA
cds-WP_001122904.1	WP_001122904.1
gene-SPN23F_RS11955	SPN23F_RS11955
cds-WP_001808898.1	WP_001808898.1
gene-SPN23F_RS13775	SPN23F_RS13775
cds-WP_000410533.1	WP_000410533.1
cds-SPN23F_RS02345	
gene-SPN23F_RS02350	SPN23F_RS02350
cds-WP_000240090.1	WP_000240090.1
gene-SPN23F_RS02355	psrA
cds-WP_000651177.1	WP_000651177.1
gene-SPN23F_RS02360	SPN23F_RS02360
cds-WP_000187269.1	WP_000187269.1
gene-SPN23F_RS02365	SPN23F_RS02365
cds-WP_000029036.1	WP_000029036.1
gene-SPN23F_RS02370	hsdR
cds-WP_000229084.1	WP_000229084.1
gene-SPN23F_RS02380	SPN23F_RS02380
cds-WP_001088694.1	WP_001088694.1
gene-SPN23F_RS02385	hrcA
cds-WP_000255770.1	WP_000255770.1
gene-SPN23F_RS02390	grpE
cds-WP_000046031.1	WP_000046031.1
gene-SPN23F_RS02395	dnaK
cds-WP_000034665.1	WP_000034665.1
gene-SPN23F_RS02400	SPN23F_RS02400
cds-WP_000114427.1	WP_000114427.1
gene-SPN23F_RS02405	dnaJ
cds-WP_001066295.1	WP_001066295.1
gene-SPN23F_RS13365	SPN23F_RS13365
cds-WP_025169639.1	WP_025169639.1
gene-SPN23F_RS02415	SPN23F_RS02415
cds-WP_000777753.1	WP_000777753.1
gene-SPN23F_RS02420	SPN23F_RS02420
cds-WP_001278301.1	WP_001278301.1
gene-SPN23F_RS02425	SPN23F_RS02425
cds-WP_000889923.1	WP_000889923.1
gene-SPN23F_RS02430	SPN23F_RS02430
cds-WP_000653774.1	WP_000653774.1
gene-SPN23F_RS02435	SPN23F_RS02435
cds-WP_000132572.1	WP_000132572.1
gene-SPN23F_RS02440	SPN23F_RS02440
cds-WP_000876675.1	WP_000876675.1
gene-SPN23F_RS02445	SPN23F_RS02445
cds-WP_001219120.1	WP_001219120.1
gene-SPN23F_RS02450	SPN23F_RS02450
cds-WP_001017642.1	WP_001017642.1
gene-SPN23F_RS02455	blpC
cds-WP_000358815.1	WP_000358815.1
gene-SPN23F_RS02460	SPN23F_RS02460
cds-WP_001069060.1	WP_001069060.1
gene-SPN23F_RS02465	SPN23F_RS02465
cds-WP_196300924.1	WP_196300924.1
gene-SPN23F_RS14160	SPN23F_RS14160
cds-WP_000205166.1	WP_000205166.1
gene-SPN23F_RS02475	blpI
cds-WP_001093259.1	WP_001093259.1
gene-SPN23F_RS02480	blpJ
cds-WP_001093248.1	WP_001093248.1
gene-SPN23F_RS02485	blpK
cds-WP_000379965.1	WP_000379965.1
gene-SPN23F_RS02490	blpO
cds-WP_001809846.1	WP_001809846.1
cds-SPN23F_RS14245	
gene-SPN23F_RS02495	SPN23F_RS02495
cds-WP_000346296.1	WP_000346296.1
cds-SPN23F_RS02510	
gene-SPN23F_RS02520	SPN23F_RS02520
cds-WP_000877381.1	WP_000877381.1
gene-SPN23F_RS02525	SPN23F_RS02525
cds-WP_000760532.1	WP_000760532.1
gene-SPN23F_RS02530	blpZ
cds-WP_000276498.1	WP_000276498.1
gene-SPN23F_RS02535	SPN23F_RS02535
cds-WP_000394044.1	WP_000394044.1
gene-SPN23F_RS02540	ccrZ
cds-WP_000363002.1	WP_000363002.1
gene-SPN23F_RS02545	trmB
cds-WP_001266083.1	WP_001266083.1
gene-SPN23F_RS02550	rimP
cds-WP_001808691.1	WP_001808691.1
gene-SPN23F_RS02555	nusA
cds-WP_000032273.1	WP_000032273.1
gene-SPN23F_RS02560	rnpM
cds-WP_000857562.1	WP_000857562.1
gene-SPN23F_RS02565	SPN23F_RS02565
cds-WP_001041390.1	WP_001041390.1
gene-SPN23F_RS02570	infB
cds-WP_000039212.1	WP_000039212.1
gene-SPN23F_RS02575	rbfA
cds-WP_001273601.1	WP_001273601.1
gene-SPN23F_RS02580	SPN23F_RS02580
cds-WP_000840388.1	WP_000840388.1
gene-SPN23F_RS02585	SPN23F_RS02585
cds-WP_001068163.1	WP_001068163.1
gene-SPN23F_RS13780	SPN23F_RS13780
cds-WP_000693323.1	WP_000693323.1
gene-SPN23F_RS02590	SPN23F_RS02590
cds-WP_000368737.1	WP_000368737.1
gene-SPN23F_RS02595	SPN23F_RS02595
cds-WP_000752893.1	WP_000752893.1
gene-SPN23F_RS02600	SPN23F_RS02600
cds-WP_000119707.1	WP_000119707.1
gene-SPN23F_RS02605	SPN23F_RS02605
cds-WP_000038619.1	WP_000038619.1
gene-SPN23F_RS02610	SPN23F_RS02610
cds-WP_000580663.1	WP_000580663.1
gene-SPN23F_RS02615	SPN23F_RS02615
cds-WP_000124566.1	WP_000124566.1
gene-SPN23F_RS02620	SPN23F_RS02620
cds-WP_001286128.1	WP_001286128.1
gene-SPN23F_RS02625	SPN23F_RS02625
cds-WP_000032241.1	WP_000032241.1
gene-SPN23F_RS02630	SPN23F_RS02630
cds-WP_000033775.1	WP_000033775.1
gene-SPN23F_RS02635	SPN23F_RS02635
cds-WP_001183267.1	WP_001183267.1
cds-SPN23F_RS12005	
gene-SPN23F_RS02660	SPN23F_RS02660
cds-WP_000442363.1	WP_000442363.1
gene-SPN23F_RS02665	licT
cds-WP_000584535.1	WP_000584535.1
gene-SPN23F_RS02670	SPN23F_RS02670
cds-WP_000120595.1	WP_000120595.1
gene-SPN23F_RS02675	SPN23F_RS02675
cds-WP_000151832.1	WP_000151832.1
gene-SPN23F_RS02680	pheS
cds-WP_001813261.1	WP_001813261.1
gene-SPN23F_RS02685	SPN23F_RS02685
cds-WP_000619941.1	WP_000619941.1
gene-SPN23F_RS02690	pheT
cds-WP_000909140.1	WP_000909140.1
gene-SPN23F_RS02695	SPN23F_RS02695
cds-WP_000597976.1	WP_000597976.1
cds-SPN23F_RS02700	
gene-SPN23F_RS02705	SPN23F_RS02705
cds-WP_001814186.1	WP_001814186.1
gene-SPN23F_RS02710	metE
cds-WP_000108220.1	WP_000108220.1
gene-SPN23F_RS02715	metF
cds-WP_000089976.1	WP_000089976.1
gene-SPN23F_RS02720	pnp
cds-WP_001118979.1	WP_001118979.1
gene-SPN23F_RS02725	cysE
cds-WP_000539953.1	WP_000539953.1
gene-SPN23F_RS02730	SPN23F_RS02730
cds-WP_000613675.1	WP_000613675.1
gene-SPN23F_RS02735	cysS
cds-WP_000591096.1	WP_000591096.1
gene-SPN23F_RS02740	SPN23F_RS02740
cds-WP_000567908.1	WP_000567908.1
gene-SPN23F_RS02745	SPN23F_RS02745
cds-WP_001201737.1	WP_001201737.1
gene-SPN23F_RS02750	SPN23F_RS02750
cds-WP_000436237.1-3	WP_000436237.1
gene-SPN23F_RS02755	SPN23F_RS02755
cds-WP_001166179.1	WP_001166179.1
cds-SPN23F_RS13235	
gene-SPN23F_RS02765	SPN23F_RS02765
cds-WP_001068292.1	WP_001068292.1
gene-SPN23F_RS02770	vex2
cds-WP_000173731.1	WP_000173731.1
gene-SPN23F_RS02775	vex3
cds-WP_000902984.1	WP_000902984.1
gene-SPN23F_RS13785	pep27
cds-WP_198523890.1	WP_198523890.1
gene-SPN23F_RS02780	vncR
cds-WP_000697960.1	WP_000697960.1
gene-SPN23F_RS02785	vncS
cds-WP_000831369.1	WP_000831369.1
gene-SPN23F_RS02790	SPN23F_RS02790
cds-WP_001019003.1	WP_001019003.1
gene-SPN23F_RS02795	SPN23F_RS02795
cds-WP_000843701.1	WP_000843701.1
gene-SPN23F_RS02800	SPN23F_RS02800
cds-WP_000443837.1	WP_000443837.1
gene-SPN23F_RS02805	SPN23F_RS02805
cds-WP_000131117.1	WP_000131117.1
gene-SPN23F_RS02810	SPN23F_RS02810
cds-WP_000624342.1	WP_000624342.1
gene-SPN23F_RS02815	SPN23F_RS02815
cds-WP_001229604.1	WP_001229604.1
gene-SPN23F_RS02820	recJ
cds-WP_000632597.1	WP_000632597.1
gene-SPN23F_RS02825	SPN23F_RS02825
cds-WP_000065637.1	WP_000065637.1
gene-SPN23F_RS02830	SPN23F_RS02830
cds-WP_000290013.1	WP_000290013.1
gene-SPN23F_RS02835	murM
cds-WP_000286563.1	WP_000286563.1
gene-SPN23F_RS02840	murN
cds-WP_001229509.1	WP_001229509.1
gene-SPN23F_RS02845	SPN23F_RS02845
cds-WP_001267410.1	WP_001267410.1
gene-SPN23F_RS02850	uvrC
cds-WP_001061144.1	WP_001061144.1
cds-SPN23F_RS02855	
gene-SPN23F_RS02860	SPN23F_RS02860
cds-WP_000714633.1	WP_000714633.1
gene-SPN23F_RS02865	SPN23F_RS02865
cds-WP_000670163.1	WP_000670163.1
gene-SPN23F_RS02870	pepV
cds-WP_000125044.1	WP_000125044.1
gene-SPN23F_RS02875	SPN23F_RS02875
cds-WP_000078149.1	WP_000078149.1
cds-SPN23F_RS13790	
gene-SPN23F_RS02890	brnQ
cds-WP_001074663.1	WP_001074663.1
gene-SPN23F_RS02895	SPN23F_RS02895
cds-WP_001077246.1	WP_001077246.1
gene-SPN23F_RS02900	SPN23F_RS02900
cds-WP_000335612.1	WP_000335612.1
gene-SPN23F_RS02905	ldcB
cds-WP_000747819.1	WP_000747819.1
gene-SPN23F_RS02910	rplK
cds-WP_001085809.1	WP_001085809.1
gene-SPN23F_RS02915	rplA
cds-WP_001085677.1	WP_001085677.1
gene-SPN23F_RS13485	SPN23F_RS13485
cds-WP_000849975.1	WP_000849975.1
gene-SPN23F_RS13795	SPN23F_RS13795
cds-WP_000895062.1	WP_000895062.1
gene-SPN23F_RS14165	SPN23F_RS14165
cds-WP_000643406.1	WP_000643406.1
gene-SPN23F_RS02935	SPN23F_RS02935
cds-WP_001240779.1	WP_001240779.1
gene-SPN23F_RS02940	SPN23F_RS02940
cds-WP_000594189.1	WP_000594189.1
gene-SPN23F_RS02945	SPN23F_RS02945
cds-WP_000760712.1	WP_000760712.1
gene-SPN23F_RS14170	SPN23F_RS14170
cds-WP_001814192.1	WP_001814192.1
gene-SPN23F_RS02950	SPN23F_RS02950
cds-WP_001814193.1	WP_001814193.1
gene-SPN23F_RS13800	SPN23F_RS13800
cds-WP_020901271.1	WP_020901271.1
gene-SPN23F_RS02965	SPN23F_RS02965
cds-WP_000750048.1	WP_000750048.1
gene-SPN23F_RS02970	SPN23F_RS02970
cds-WP_000242176.1	WP_000242176.1
gene-SPN23F_RS02975	SPN23F_RS02975
cds-WP_000590563.1	WP_000590563.1
gene-SPN23F_RS02980	SPN23F_RS02980
cds-WP_000338720.1	WP_000338720.1
gene-SPN23F_RS02985	bgaA
cds-WP_000515195.1	WP_000515195.1
gene-SPN23F_RS14175	SPN23F_RS14175
cds-WP_223200702.1	WP_223200702.1
gene-SPN23F_RS13810	SPN23F_RS13810
cds-WP_001810421.1	WP_001810421.1
gene-SPN23F_RS03000	SPN23F_RS03000
cds-WP_000525415.1	WP_000525415.1
cds-SPN23F_RS12855	
gene-SPN23F_RS03015	SPN23F_RS03015
cds-WP_000828435.1	WP_000828435.1
gene-SPN23F_RS03020	SPN23F_RS03020
cds-WP_000361078.1	WP_000361078.1
gene-SPN23F_RS03025	SPN23F_RS03025
cds-WP_000421654.1	WP_000421654.1
gene-SPN23F_RS03030	SPN23F_RS03030
cds-WP_000759490.1	WP_000759490.1
gene-SPN23F_RS03035	ccdA2
cds-WP_000509848.1	WP_000509848.1
gene-SPN23F_RS03040	SPN23F_RS03040
cds-WP_000759278.1	WP_000759278.1
gene-SPN23F_RS03045	msrB
cds-WP_000998305.1	WP_000998305.1
gene-SPN23F_RS03050	SPN23F_RS03050
cds-WP_000222616.1	WP_000222616.1
gene-SPN23F_RS03055	SPN23F_RS03055
cds-WP_000831072.1	WP_000831072.1
gene-SPN23F_RS03060	SPN23F_RS03060
cds-WP_001006363.1	WP_001006363.1
gene-SPN23F_RS03065	SPN23F_RS03065
cds-WP_000473015.1	WP_000473015.1
gene-SPN23F_RS03070	pabB
cds-WP_000554861.1	WP_000554861.1
gene-SPN23F_RS03075	SPN23F_RS03075
cds-WP_000033354.1	WP_000033354.1
cds-SPN23F_RS03080	
gene-SPN23F_RS03085	SPN23F_RS03085
cds-WP_000078572.1	WP_000078572.1
gene-SPN23F_RS03090	SPN23F_RS03090
cds-WP_000158602.1	WP_000158602.1
gene-SPN23F_RS03095	SPN23F_RS03095
cds-WP_001051780.1	WP_001051780.1
gene-SPN23F_RS03100	miaA
cds-WP_000850189.1	WP_000850189.1
gene-SPN23F_RS03105	hflX
cds-WP_000573197.1	WP_000573197.1
gene-SPN23F_RS03110	SPN23F_RS03110
cds-WP_000129690.1	WP_000129690.1
gene-SPN23F_RS03115	rnz
cds-WP_000354338.1	WP_000354338.1
gene-SPN23F_RS03120	SPN23F_RS03120
cds-WP_001142146.1	WP_001142146.1
gene-SPN23F_RS03125	SPN23F_RS03125
cds-WP_001222592.1	WP_001222592.1
gene-SPN23F_RS03130	SPN23F_RS03130
cds-WP_000051787.1	WP_000051787.1
gene-SPN23F_RS03135	SPN23F_RS03135
cds-WP_000259256.1	WP_000259256.1
cds-SPN23F_RS03140	
gene-SPN23F_RS03145	SPN23F_RS03145
cds-WP_001235022.1	WP_001235022.1
gene-SPN23F_RS03150	typA
cds-WP_000164111.1	WP_000164111.1
gene-SPN23F_RS03155	SPN23F_RS03155
cds-WP_000262802.1	WP_000262802.1
cds-SPN23F_RS03160	
cds-SPN23F_RS03165	
gene-SPN23F_RS03170	SPN23F_RS03170
cds-WP_000571281.1	WP_000571281.1
gene-SPN23F_RS03175	murD
cds-WP_000863025.1	WP_000863025.1
gene-SPN23F_RS03180	SPN23F_RS03180
cds-WP_000724826.1	WP_000724826.1
gene-SPN23F_RS03185	divIB
cds-WP_000031148.1	WP_000031148.1
gene-SPN23F_RS03190	pyrF
cds-WP_001206731.1	WP_001206731.1
gene-SPN23F_RS03195	pyrE
cds-WP_000170915.1	WP_000170915.1
gene-SPN23F_RS14080	SPN23F_RS14080
cds-WP_001814198.1	WP_001814198.1
gene-SPN23F_RS03205	SPN23F_RS03205
cds-WP_000394069.1	WP_000394069.1
gene-SPN23F_RS03210	SPN23F_RS03210
cds-WP_000808917.1	WP_000808917.1
gene-SPN23F_RS03215	SPN23F_RS03215
cds-WP_000517360.1	WP_000517360.1
gene-SPN23F_RS03220	SPN23F_RS03220
cds-WP_001002414.1	WP_001002414.1
cds-SPN23F_RS03225	
gene-SPN23F_RS03235	SPN23F_RS03235
cds-WP_000005006.1	WP_000005006.1
gene-SPN23F_RS03240	SPN23F_RS03240
cds-WP_001154147.1	WP_001154147.1
gene-SPN23F_RS03245	SPN23F_RS03245
cds-WP_029645453.1	WP_029645453.1
cds-SPN23F_RS03250	
gene-SPN23F_RS03255	lysS
cds-WP_000102469.1	WP_000102469.1
gene-SPN23F_RS03260	lctO
cds-WP_000120707.1	WP_000120707.1
gene-SPN23F_RS03265	SPN23F_RS03265
cds-WP_000449824.1	WP_000449824.1
gene-SPN23F_RS13820	SPN23F_RS13820
cds-WP_000693513.1	WP_000693513.1
gene-SPN23F_RS03275	thiM
cds-WP_000202464.1	WP_000202464.1
gene-SPN23F_RS03280	thiE
cds-WP_000468587.1	WP_000468587.1
gene-SPN23F_RS03285	SPN23F_RS03285
cds-WP_000915286.1	WP_000915286.1
gene-SPN23F_RS03290	SPN23F_RS03290
cds-WP_000522118.1	WP_000522118.1
gene-SPN23F_RS03295	SPN23F_RS03295
cds-WP_000241364.1	WP_000241364.1
gene-SPN23F_RS03300	tenA
cds-WP_000397220.1	WP_000397220.1
gene-SPN23F_RS03305	thiW
cds-WP_001225556.1	WP_001225556.1
gene-SPN23F_RS03310	SPN23F_RS03310
cds-WP_001812917.1	WP_001812917.1
gene-SPN23F_RS03315	thiE
cds-WP_001078222.1	WP_001078222.1
gene-SPN23F_RS03320	thiD
cds-WP_000221742.1	WP_000221742.1
gene-SPN23F_RS03325	SPN23F_RS03325
cds-WP_001167216.1	WP_001167216.1
gene-SPN23F_RS03330	SPN23F_RS03330
cds-WP_000935064.1	WP_000935064.1
gene-SPN23F_RS03335	SPN23F_RS03335
cds-WP_000136301.1	WP_000136301.1
gene-SPN23F_RS03340	spxB
cds-WP_000191795.1	WP_000191795.1
gene-SPN23F_RS03345	SPN23F_RS03345
cds-WP_001052655.1	WP_001052655.1
cds-SPN23F_RS12060	
cds-SPN23F_RS03365	
gene-SPN23F_RS03370	manA
cds-WP_001294281.1	WP_001294281.1
cds-SPN23F_RS03375	
gene-SPN23F_RS14180	SPN23F_RS14180
cds-WP_000231555.1	WP_000231555.1
cds-SPN23F_RS03385	
gene-SPN23F_RS03390	SPN23F_RS03390
cds-WP_001861299.1	WP_001861299.1
gene-SPN23F_RS03395	SPN23F_RS03395
cds-WP_000680056.1	WP_000680056.1
gene-SPN23F_RS03400	SPN23F_RS03400
cds-WP_000219939.1	WP_000219939.1
gene-SPN23F_RS03405	SPN23F_RS03405
cds-WP_000004139.1	WP_000004139.1
gene-SPN23F_RS03410	SPN23F_RS03410
cds-WP_000136976.1	WP_000136976.1
gene-SPN23F_RS03415	upp
cds-WP_000515974.1	WP_000515974.1
gene-SPN23F_RS03420	clpP
cds-WP_000613477.1	WP_000613477.1
gene-SPN23F_RS03425	SPN23F_RS03425
cds-WP_000462126.1	WP_000462126.1
gene-SPN23F_RS03430	SPN23F_RS03430
cds-WP_000726149.1	WP_000726149.1
gene-SPN23F_RS03435	SPN23F_RS03435
cds-WP_000941421.1	WP_000941421.1
gene-SPN23F_RS03440	SPN23F_RS03440
cds-WP_000662293.1	WP_000662293.1
gene-SPN23F_RS03445	SPN23F_RS03445
cds-WP_001186003.1	WP_001186003.1
gene-SPN23F_RS03450	SPN23F_RS03450
cds-WP_000062214.1	WP_000062214.1
gene-SPN23F_RS03455	SPN23F_RS03455
cds-WP_000268676.1	WP_000268676.1
gene-SPN23F_RS03460	prfB
cds-WP_010963246.1	WP_010963246.1
cds-WP_010963246.1_1	WP_010963246.1
gene-SPN23F_RS03465	ftsE
cds-WP_000022268.1	WP_000022268.1
gene-SPN23F_RS03470	ftsX
cds-WP_000625536.1	WP_000625536.1
gene-SPN23F_RS03475	SPN23F_RS03475
cds-WP_000974062.1	WP_000974062.1
gene-SPN23F_RS03480	SPN23F_RS03480
cds-WP_000670830.1	WP_000670830.1
gene-SPN23F_RS03485	SPN23F_RS03485
cds-WP_000011015.1	WP_000011015.1
gene-SPN23F_RS03490	metK
cds-WP_000003936.1	WP_000003936.1
