GeneID	Annotation
gene-SPN23F_RS00425	SPN23F_RS00425
cds-WP_000649425.1	WP_000649425.1
gene-SPN23F_RS00430	SPN23F_RS00430
cds-WP_000220701.1	WP_000220701.1
gene-SPN23F_RS00435	SPN23F_RS00435
cds-WP_000185151.1	WP_000185151.1
gene-SPN23F_RS13355	SPN23F_RS13355
cds-WP_000695849.1	WP_000695849.1
gene-SPN23F_RS00445	SPN23F_RS00445
cds-WP_000450181.1	WP_000450181.1
cds-SPN23F_RS11750	
gene-SPN23F_RS00450	SPN23F_RS00450
cds-WP_000614999.1	WP_000614999.1
gene-SPN23F_RS13180	SPN23F_RS13180
cds-WP_000849912.1	WP_000849912.1
gene-SPN23F_RS00460	SPN23F_RS00460
cds-WP_000897726.1	WP_000897726.1
gene-SPN23F_RS00465	SPN23F_RS00465
cds-WP_001283896.1	WP_001283896.1
gene-SPN23F_RS13690	SPN23F_RS13690
cds-WP_000692796.1	WP_000692796.1
gene-SPN23F_RS00475	SPN23F_RS00475
cds-WP_000771901.1	WP_000771901.1
gene-SPN23F_RS00480	SPN23F_RS00480
cds-WP_000291603.1	WP_000291603.1
cds-SPN23F_RS00485	
gene-SPN23F_RS00490	SPN23F_RS00490
cds-WP_000520642.1	WP_000520642.1
gene-SPN23F_RS00495	SPN23F_RS00495
cds-WP_000769768.1	WP_000769768.1
gene-SPN23F_RS00500	rpsD
cds-WP_000092756.1	WP_000092756.1
cds-SPN23F_RS11760	
cds-SPN23F_RS12785	
gene-SPN23F_RS00510	SPN23F_RS00510
cds-WP_000148253.1	WP_000148253.1
gene-SPN23F_RS00515	SPN23F_RS00515
cds-WP_001809441.1	WP_001809441.1
gene-SPN23F_RS00520	SPN23F_RS00520
cds-WP_000714582.1	WP_000714582.1
gene-SPN23F_RS00525	SPN23F_RS00525
cds-WP_001075102.1	WP_001075102.1
gene-SPN23F_RS00530	SPN23F_RS00530
cds-WP_000800432.1	WP_000800432.1
gene-SPN23F_RS00535	SPN23F_RS00535
cds-WP_001030031.1	WP_001030031.1
gene-SPN23F_RS14055	SPN23F_RS14055
cds-WP_001813665.1	WP_001813665.1
gene-SPN23F_RS00540	SPN23F_RS00540
cds-WP_001140340.1	WP_001140340.1
gene-SPN23F_RS00545	SPN23F_RS00545
cds-WP_000808442.1	WP_000808442.1
gene-SPN23F_RS00550	SPN23F_RS00550
cds-WP_001233692.1	WP_001233692.1
gene-SPN23F_RS00555	SPN23F_RS00555
cds-WP_000198687.1	WP_000198687.1
gene-SPN23F_RS00560	SPN23F_RS00560
cds-WP_000273863.1	WP_000273863.1
cds-SPN23F_RS00565	
gene-SPN23F_RS00570	SPN23F_RS00570
cds-WP_000096197.1	WP_000096197.1
gene-SPN23F_RS00575	SPN23F_RS00575
cds-WP_001035700.1	WP_001035700.1
gene-SPN23F_RS00580	SPN23F_RS00580
cds-WP_000436237.1	WP_000436237.1
gene-SPN23F_RS13190	SPN23F_RS13190
cds-WP_000693348.1	WP_000693348.1
gene-SPN23F_RS00590	SPN23F_RS00590
cds-WP_000200892.1	WP_000200892.1
gene-SPN23F_RS00595	sdaAA
cds-WP_000500038.1	WP_000500038.1
gene-SPN23F_RS00600	sdaAB
cds-WP_000838912.1	WP_000838912.1
gene-SPN23F_RS00605	SPN23F_RS00605
cds-WP_000836442.1	WP_000836442.1
gene-SPN23F_RS00610	SPN23F_RS00610
cds-WP_001861316.1	WP_001861316.1
gene-SPN23F_RS00615	SPN23F_RS00615
cds-WP_001230165.1	WP_001230165.1
gene-SPN23F_RS00620	SPN23F_RS00620
cds-WP_000724257.1	WP_000724257.1
gene-SPN23F_RS00625	SPN23F_RS00625
cds-WP_000571330.1	WP_000571330.1
gene-SPN23F_RS00630	SPN23F_RS00630
cds-WP_001038484.1	WP_001038484.1
cds-SPN23F_RS00635	
gene-SPN23F_RS00640	SPN23F_RS00640
cds-WP_001861316.1-2	WP_001861316.1
gene-SPN23F_RS00650	SPN23F_RS00650
cds-WP_000436237.1-2	WP_000436237.1
gene-SPN23F_RS13360	SPN23F_RS13360
cds-WP_001814148.1	WP_001814148.1
gene-SPN23F_RS00665	SPN23F_RS00665
cds-WP_001814150.1	WP_001814150.1
cds-SPN23F_RS13695	
gene-SPN23F_RS00670	SPN23F_RS00670
cds-WP_000770312.1	WP_000770312.1
gene-SPN23F_RS00675	SPN23F_RS00675
cds-WP_020901307.1	WP_020901307.1
gene-SPN23F_RS13700	SPN23F_RS13700
cds-WP_231844674.1	WP_231844674.1
cds-SPN23F_RS14150	
gene-SPN23F_RS00685	mnmA
cds-WP_001282967.1	WP_001282967.1
gene-SPN23F_RS00690	SPN23F_RS00690
cds-WP_000193610.1	WP_000193610.1
gene-SPN23F_RS00695	mnmG
cds-WP_000220946.1	WP_000220946.1
gene-SPN23F_RS13710	SPN23F_RS13710
cds-WP_001838083.1	WP_001838083.1
gene-SPN23F_RS00705	rnjA
cds-WP_000331980.1	WP_000331980.1
gene-SPN23F_RS00710	SPN23F_RS00710
cds-WP_000639577.1	WP_000639577.1
cds-SPN23F_RS13715	
gene-SPN23F_RS00715	cibB
cds-WP_000977347.1	WP_000977347.1
